video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description 
HkVUKIDzkJU,,Chris Young - Hangin&#39; On (Behind the Scenes),ChrisYoungVEVO,,2018-03-12T18:15:12Z,,,,,,,,,,"Chris Young's ""Hangin' On"" from his #1 album, Losing Sleep, available now. http://smarturl.it/losingsleepcy."
P3gsmDx6Nig,,"Some drivers get it, some don&#39;t, at the 11foot8 bridge",yovo68,,2018-02-01T01:29:46Z,,,,,,,,,,Just five minutes in the life of a low-clearance train trestle.
zvL4ONNnJ44,,Mobile health RV gets stuck under the 11foot8 bridge,yovo68,,2018-02-21T02:14:35Z,,,,,,,,,,Crash #2 today - a mobile mammogram machine has four A/C units surgically removed from the roof. I guess the driver really needs an eye exam?! EDIT: Yeah ...
qxVQ7ZEG1RU,,New Year&#39;s Eve Penske Peel at the 11foot8 bridge,yovo68,,2018-01-04T00:46:33Z,,,,,,,,,,"On New Year's Eve 2017, the bridge got another holiday feast, peeling the top off another Penske rental truck. The driver left the scene of the accident after a few ..."
_osCPYPywnU,,Secret military equipment gets banged up at the 11foot8 bridge,yovo68,,2018-03-19T00:00:03Z,,,,,,,,,,"Not even the U.S. military can sneak anything under the canopener. A military truck with some super-secret, tarp-covered gizmo attached to the top of the cab ..."
BK7roTklGyg,,Foggy morning canopener truck crash at the 11foot8 bridge,yovo68,,2018-02-21T01:57:52Z,,,,,,,,,,"Maybe the driver was a bit foggy about the meaning of the 11' 8"" clearance sign, or the significance of the ""OVERHEIGHT - MUST TURN"" flashing signal? I don't ..."
iHga_jh1JDk,,Flooding during a rainstorm at the 11foot8 bridge,yovo68,,2018-06-07T02:04:35Z,,,,,,,,,,"Sorry, no crash in this video :) ... this footage of the 11foot8 bridge during a severe rainstorm on May 17 illustrates one of the problems of changing the road ..."
Vf76O7y-7pk,,Jack Johnson - Only The Ocean (Official Video),JackJohnsonVEVO,,2017-12-14T05:00:01Z,,,,,,,,,,Video Director: Emmett Malloy Video Producer: Daniel Pappas Video Editor: Ian McGee For Brushfire Films Music video by Jack Johnson performing Only The ...
g39fv_lYt2k,,What Really Happens When Mario Destroys Castles,Dorkly,,2018-03-16T15:45:14Z,,,,,,,,,,Mario is a monster. See more http://www.dorkly.com Geek out with us... FACEBOOK: http://www.facebook.com/dorkly TWITTER: http://www.twitter.com/dorkly ...
_TiR0kpifUY,,Power-Up Mix-Up 5,Dorkly,,2018-06-09T17:25:35Z,,,,,,,,,,"Available WORLDWIDE. App available in Canada, New Zealand, Australia and the U.S. When power-ups get sent to the wrong videogames, things can ..."
t3VCj4JOsFU,,What It&#39;s Like To Be Possessed By Cappy,Dorkly,,2018-01-06T19:00:39Z,,,,,,,,,,Mario seems pretty casual about literally taking over the minds of sentient beings just so he can grab a couple of moons to power his flying hat. It's a pretty major ...
gFSt1MIws-c,,Failed Super Smash Bros. Auditions,Dorkly,,2018-04-14T12:41:47Z,,,,,,,,,,Not everybody deserves to be in this game. See more http://www.dorkly.com Geek out with us... FACEBOOK: http://www.facebook.com/dorkly TWITTER: ...
arM9U2S3I3o,,If Bowser Dated Sheeva from Mortal Kombat,Dorkly,,2018-06-02T17:02:42Z,,,,,,,,,,"Bowser's single and ready to mingle! With, uh, basically anyone or anything he can find. Like a four-armed bad guy from Mortal Kombat. See more ..."
iA5u80nS1PQ,,More Pokemon Who Are Disappointed With Their Evolutions,Dorkly,,2017-11-25T20:09:25Z,,,,,,,,,,"Available WORLDWIDE. App available in Canada, New Zealand, Australia and the U.S. DROPOUT.TV: No ads. No censors. Just funny. Join now."
FCLfNXGPC7w,,If Videogames Were 11% More Realistic,Dorkly,,2018-02-04T18:28:45Z,,,,,,,,,,"Available WORLDWIDE. App available in Canada, New Zealand, Australia and the U.S. Folks, we already showed you what videogames would be like if they ..."
MkNx361xwlA,,Still More Pokemon Disappointed With Their Evolutions,Dorkly,,2018-01-20T19:17:46Z,,,,,,,,,,"Available WORLDWIDE. App available in Canada, New Zealand, Australia and the U.S. Part 1: https://www.youtube.com/watch?v=KzZqxkkUHLc Part 2: ..."
JJsSKlNKhQ8,,10 Times Marvel Movies Paid Incredible Attention to Continuity,Dorkly,,2018-03-09T19:30:25Z,,,,,,,,,,"Available WORLDWIDE. App available in Canada, New Zealand, Australia and the U.S. ...Is Tony Stark going to be okay? See more http://www.dorkly.com Geek ..."
BQBCH60PxSE,,Pokemon Ralphie: Detective Squirtle on the Case,Dorkly,,2018-04-28T18:50:38Z,,,,,,,,,,NYPD Pokemon Blue See more http://www.dorkly.com Geek out with us... FACEBOOK: http://www.facebook.com/dorkly TWITTER: http://www.twitter.com/dorkly ...
jYm0g2oxdUw,,Kacey Musgraves - Wonder Woman (Audio),KaceyMusgravesVEVO,,2018-03-30T04:00:03Z,,,,,,,,,,"Music video by Kacey Musgraves performing Wonder Woman. © 2018 UMG Recordings, Inc. http://vevo.ly/ZnOZEr."
IS6fWkZkrFc,,Kacey Musgraves - Slow Burn (Live On SNL),KaceyMusgravesVEVO,,2018-05-13T08:00:59Z,,,,,,,,,,"Listen to the new Kacey Musgraves album, Golden Hour, here: http://strm.to/GoldenHourYD Sign up to the Kacey Musgraves email list ..."
