video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
36PDeN9NRZ0,trailer hd,trailer,"[""[[32, 198], [205, 233]]""]"
36tggrpRoTI,vevo,,[]
37lXjnflt9M,vevo,,[]
3ATQvgkXT9E,vevo,,[]
3BEpWWxPXSU,arrak flips rockstart,flip,"[""[[45, 125], [110, 144]]""]"
3ChgRbqGi-E,vevo,,[]
3Haf2k6R8sI,blockbusing was ht,,[]
3K4WG7Tqza4,snl,,[]
3KmIMuLh4Vs,i i vevo,,[]
3ONSFeRy9iQ,everything explained last engineer many worlds have been crafted by the through the blood of our the successful the of that the un was yours is the only child that is like if star our weyland what hes sayings is,everything explain last engineer many world craft blood successful child like star saying,"[""[[130, 52], [390, 85]]"", ""[[174, 96], [366, 124]]"", ""[[174, 198], [209, 212]]"", ""[[210, 198], [280, 212]]"", ""[[124, 212], [160, 227]]"", ""[[161, 213], [202, 225]]"", ""[[268, 213], [312, 225]]"", ""[[200, 228], [233, 240]]"", ""[[180, 241], [246, 254]]"", ""[[257, 256], [288, 269]]"", ""[[332, 256], [356, 269]]"", ""[[230, 258], [256, 269]]"", ""[[195, 297], [243, 315]]""]"
3Q2j5ApzSqs,vevo,,[]
3RdLd4imW6U,it wendy lano,,[]
3TPY4TKo6uQ,solo wars story star,solo war story star,"[""[[108, 120], [369, 233]]"", ""[[230, 204], [312, 240]]"", ""[[307, 205], [352, 226]]"", ""[[148, 217], [233, 254]]""]"
3XIV3mfc8S0,pga i highlights,highlight,"[""[[0, 266], [298, 304]]""]"
3Xb3eOH4PMA,ladbaby,,[]
3XklsSF53pc,munchies,,[]
3Z6kYVQC83E,veitch a christmas message,message,"[""[[269, 264], [414, 297]]""]"
3hn14sIQc6E,daily news,daily news,"[""[[3, 264], [185, 312]]"", ""[[226, 266], [396, 312]]""]"
3jtjkXSvuJw,fizzi the funniest kitten,kitten,"[""[[289, 241], [465, 304]]""]"
3mUtNE82ZV4,hus culd vild,,[]
3p-lyt78cyA,the problem with action dc scenes,problem action scene,"[""[[152, 156], [312, 189]]"", ""[[138, 190], [258, 225]]"", ""[[265, 192], [398, 225]]""]"
3pxyo7eSknc,0f12017 best,best,"[""[[38, 173], [171, 214]]""]"
3rVFuscWyC8,the old me,old,"[""[[226, 173], [264, 186]]""]"
3uGIEY7tdg8,studios amazon sypria,studio,"[""[[77, 58], [134, 75]]""]"
3v0c6smpHSk,hamilton the hamilton polka yankovic weird all,polka weird,"[""[[162, 243], [324, 274]]"", ""[[176, 276], [218, 284]]""]"
3wnHiK5sKgA,smtown official,official,"[""[[108, 268], [192, 285]]""]"
3yt4JsB9psg,personofine year time msnbc,year time,"[""[[276, 64], [333, 92]]"", ""[[169, 75], [318, 138]]""]"
41PTANtZFW0,vevo,,[]
41oqd-mogW8,sublying,,[]
425M4M3Opkk,trailer teaser,trailer teaser,"[""[[241, 262], [342, 294]]"", ""[[137, 265], [236, 293]]""]"
44NYFvhXmW8,walk water onn vevo,walk water,"[""[[18, 165], [154, 192]]"", ""[[295, 164], [465, 193]]""]"
44szOPIixaU,star t a a s e d wars,star war,"[""[[36, 158], [212, 201]]"", ""[[34, 210], [213, 254]]""]"
45tSUnisIos,trap cat,trap cat,"[""[[298, 213], [381, 250]]"", ""[[213, 218], [289, 252]]""]"
47_BVBakJqY,years 3 of dying light good good luck night,year die light good luck night,"[""[[189, 117], [332, 158]]"", ""[[128, 172], [248, 226]]"", ""[[255, 189], [354, 255]]"", ""[[188, 225], [217, 242]]"", ""[[216, 225], [245, 242]]"", ""[[156, 226], [186, 241]]""]"
48-pr5-G6Pw,vevo,,[]
48qcnpCWBq0,vevo,,[]
494VkPnSvJk,colourpop must haves,must have,"[""[[265, 153], [365, 181]]"", ""[[258, 182], [376, 210]]""]"
4A-E6EJICvM,live,live,"[""[[390, 65], [422, 78]]""]"
4AtOU0dDXv8,cm,,[]
4DQ-2tDzJxw,grandsen vevo thoughts sprayers,thought sprayer,"[""[[338, 289], [393, 304]]"", ""[[393, 289], [449, 304]]""]"
4FXO1Ydzkpk,jimmy hammel livei,jimmy,"[""[[40, 205], [108, 230]]""]"
4FgV0yBZG6E,star wars the whisper challenge tonight show fallon daisy ridley galaxy far far away ime,star war whisper challenge tonight show daisy galaxy far away,"[""[[197, 191], [279, 223]]"", ""[[288, 193], [388, 224]]"", ""[[121, 222], [269, 256]]"", ""[[274, 222], [476, 256]]"", ""[[16, 229], [108, 249]]"", ""[[17, 246], [81, 266]]"", ""[[119, 267], [177, 304]]"", ""[[230, 277], [303, 304]]"", ""[[344, 280], [378, 300]]"", ""[[381, 278], [440, 305]]""]"
4HU6Z7anycw,lickiner the in polar bear,polar bear,"[""[[237, 238], [334, 270]]"", ""[[346, 238], [428, 270]]""]"
4Ibn7DeBS-Y,wit signast new,wit new,"[""[[301, 33], [390, 106]]"", ""[[373, 72], [479, 164]]""]"
