video_id,thumbnail_link,region,mean_r,mean_g,mean_b,std_r,std_g,std_b,entropy,thumb_ocr_text,clean_thumb_ocr_text
9GqL1DSQDL0,https://i.ytimg.com/vi/9GqL1DSQDL0/default.jpg,GB,117.53063657407408,103.52802083333331,91.27651620370372,96.8049190898722,87.7700357099861,76.61673266313402,6.714039360846195," 

> Ns 3 grin ‘
~~ dily : a
Brow <,

 
",grin brow
OGKchfcd-5w,https://i.ytimg.com/vi/OGKchfcd-5w/default.jpg,GB,85.40567708333333,78.98282986111111,73.41080439814814,96.92215085002996,91.30221641642554,87.66917439465966,5.901237661918805,"  

Or es ae oy eK)
eee |
",
44NYFvhXmW8,https://i.ytimg.com/vi/44NYFvhXmW8/default.jpg,GB,37.22203703703704,29.764351851851853,30.833119212962963,58.62916675955243,54.59586446528518,53.15795974606786,5.580666739161604," 
",
RYs08kX3Ih4,https://i.ytimg.com/vi/RYs08kX3Ih4/default.jpg,GB,,,,,,,,,
nnrkPRApQg8,https://i.ytimg.com/vi/nnrkPRApQg8/default.jpg,GB,112.26938657407408,114.02659143518518,111.27357060185186,98.4723782140848,100.62849248629443,98.94055525967006,6.551643042314923," 
",
eHIY3HNNqzM,https://i.ytimg.com/vi/eHIY3HNNqzM/default.jpg,GB,61.01422453703704,74.97385416666667,100.45824074074072,66.4836880855373,71.2988407111856,75.45549033945163,6.691966332192137," 
",
gSW2l1z1lKw,https://i.ytimg.com/vi/gSW2l1z1lKw/default.jpg,GB,97.33226851851852,80.21697337962964,83.70140046296297,86.8409931598751,75.1472465065071,79.37906568986091,6.863352415873964," 
",
9wg3v-01yKQ,https://i.ytimg.com/vi/9wg3v-01yKQ/default.jpg,GB,39.546527777777776,33.11125578703704,37.96345486111111,41.85476970675986,41.57861794874522,39.21702821716087,5.7971481641530085,,
nrXlY6gzTTM,https://i.ytimg.com/vi/nrXlY6gzTTM/default.jpg,GB,59.66485532407408,57.01094328703704,54.708385416666665,67.12567779190204,66.8088593101495,65.22089940371731,6.391245084577836," 
",
EYkEshCOhEU,https://i.ytimg.com/vi/EYkEshCOhEU/default.jpg,GB,109.18173032407408,73.68533564814815,58.68241898148148,68.2083392775972,53.946511276796464,47.70973795778832,7.433086763273248," 
",
P4ohTV_28Oc,https://i.ytimg.com/vi/P4ohTV_28Oc/default.jpg,GB,,,,,,,,,
q-WipZ9p0wk,https://i.ytimg.com/vi/q-WipZ9p0wk/default.jpg,GB,138.6613773148148,114.37583912037036,80.51682291666667,93.99418137997024,87.27444460614294,81.69958191192718,6.770386645845322," 
",
510KQ_LXGww,https://i.ytimg.com/vi/510KQ_LXGww/default.jpg,GB,157.85004050925926,120.05034722222224,103.75764467592592,100.99953489013843,82.9605306917018,75.62293345058232,6.724567626101449," 
",
A8ScwhLh7uo,https://i.ytimg.com/vi/A8ScwhLh7uo/default.jpg,GB,56.83302662037037,57.5060474537037,62.266481481481485,82.00268201206119,80.42940643471098,79.28569944046994,6.008026456051907," 
",
ZwIuff3270M,https://i.ytimg.com/vi/ZwIuff3270M/default.jpg,GB,79.92722800925925,68.2665625,62.14549189814815,88.51524487777463,79.99039451874035,72.84159251042809,6.629796170137043," 
",
1cgK-BIrXes,https://i.ytimg.com/vi/1cgK-BIrXes/default.jpg,GB,99.06243055555557,92.0633101851852,88.65095486111112,87.20720982246263,84.6266171883305,83.15914629843299,6.810251436873525," 

#VeteransDay: Thank You for Everything
",thank everything
3DflRo_Vids,https://i.ytimg.com/vi/3DflRo_Vids/default.jpg,GB,,,,,,,,,
P4YJwy_T9pM,https://i.ytimg.com/vi/P4YJwy_T9pM/default.jpg,GB,95.20490162037036,78.8232349537037,88.4083738425926,91.77809610083813,85.22351697481484,85.04729074179113,6.77819170965855," 

KING HER
ALENT) re) Ho} =)
",king her
vd4zwINEcLY,https://i.ytimg.com/vi/vd4zwINEcLY/default.jpg,GB,86.59726273148148,82.28697916666667,77.56616319444444,73.59938423251582,72.21693426297848,70.5130279020799,6.759672041063668," 
",
4FDpjKdlIxA,https://i.ytimg.com/vi/4FDpjKdlIxA/default.jpg,GB,,,,,,,,,
CR9zYgr84QY,https://i.ytimg.com/vi/CR9zYgr84QY/default.jpg,GB,146.50277777777777,110.14157407407409,77.44867476851852,99.47227531882174,84.24489964677717,69.99997705016366,6.83218933463888," 
",
ssbOzbL1SJQ,https://i.ytimg.com/vi/ssbOzbL1SJQ/default.jpg,GB,,,,,,,,,
1KVBFtSuCm0,https://i.ytimg.com/vi/1KVBFtSuCm0/default.jpg,GB,91.89755787037036,81.24417824074074,77.10625578703704,76.3951748134922,68.34060645333497,64.40593027338656,6.0618494701705705," 
",
YInRqgNMLBc,https://i.ytimg.com/vi/YInRqgNMLBc/default.jpg,GB,88.82163194444445,113.7705613425926,57.837858796296295,48.54858560249538,65.3842290616579,35.720523908279546,7.304583615956347," 
",
949vJMp0v40,https://i.ytimg.com/vi/949vJMp0v40/default.jpg,GB,57.85568287037037,48.95971064814815,49.58370949074074,74.93210920354781,63.43102997956552,62.42062965571092,6.236753352595288," 
",
sECcOTO8Ij4,https://i.ytimg.com/vi/sECcOTO8Ij4/default.jpg,GB,110.47118055555556,95.36391782407408,62.46535300925926,96.24108864713124,85.5147834180557,67.31958186760815,6.7631290981586245," 
",
sF1l7v3XY6I,https://i.ytimg.com/vi/sF1l7v3XY6I/default.jpg,GB,141.4659027777778,137.51886574074075,135.75880787037036,108.30086615784413,108.82185787131957,109.68163302327756,5.803897161553032," 
",
wjy9Jgnjv6U,https://i.ytimg.com/vi/wjy9Jgnjv6U/default.jpg,GB,98.05079282407408,101.81327546296296,89.0331712962963,97.7232958572359,96.64638571801564,95.54679911409517,6.273045428017037," 
",
FUzs2oMEs8w,https://i.ytimg.com/vi/FUzs2oMEs8w/default.jpg,GB,33.65064236111111,27.810949074074077,37.81324652777778,59.02497306881046,56.36661215445282,62.191525892287935,5.239657410990461," 
",
vHCvmZlC5jQ,https://i.ytimg.com/vi/vHCvmZlC5jQ/default.jpg,GB,,,,,,,,,
Fkwkn7vXpWI,https://i.ytimg.com/vi/Fkwkn7vXpWI/default.jpg,GB,82.20374421296296,77.41741319444445,89.22265625,69.81001308515107,62.81881700334599,71.1744724081181,6.251797404549367," 
",
d8RW-WSpAhQ,https://i.ytimg.com/vi/d8RW-WSpAhQ/default.jpg,GB,98.2125925925926,99.93159722222222,80.51030092592593,79.56234584366459,80.45417459615169,77.47700045759417,6.831278288327714," 
",
G1Ky9-OoWyo,https://i.ytimg.com/vi/G1Ky9-OoWyo/default.jpg,GB,92.01611689814816,86.22839120370371,82.87689236111112,94.2256494269232,91.48006791590004,89.58945173334295,6.548946997474305,"  

Ate aan eg
",ate
