video_id,category_id
7LQ08Lyy_tw,27.0
soYZ2yzxEjM,24.0
PHhYqLCsAos,20.0
y4bAULTwAJU,25.0
EofDwwembIw,1.0
zQYarS9LYgk,10.0
5LCjvpjhf_4,10.0
m-Q0Ng61bT4,10.0
_f_LqAXzol0,24.0
zw6hMTAtdwg,20.0
Mgfe5tIwOj0,10.0
dfnCAmr569k,10.0
PIRSVcRIjq0,20.0
Q-oM2BQ8Jow,10.0
TosJRlDgKCA,17.0
lYATz3STgew,10.0
ZJkc_C5-Cd8,24.0
PUcS24GuAog,26.0
N1MZRowhMtc,1.0
yLdav-8af6g,1.0
sGIm0-dQd8M,10.0
FvBcYkY7ZGo,24.0
ic1kMoM_kPw,25.0
YR5qurEje5Y,26.0
O1RNq6rMbds,24.0
s_LxZx42sIk,27.0
vecSVX1QYbQ,10.0
3ChgRbqGi-E,10.0
caCdf94Blfw,1.0
YNpCXG66_PA,15.0
dAyg7C2-mjQ,22.0
Y-iFgDK_D5s,15.0
L1TScBDOdwc,22.0
liczsmUSMA4,10.0
JAqQ8Myx-1c,10.0
XTTf2fmh_QM,10.0
ypcmAXSKrLQ,24.0
S0nbOenwCLw,10.0
miY8hckQPwc,10.0
PpElRBQ-yGc,20.0
UCCcvxvwNVo,24.0
52L2HML5O1k,24.0
1m7WNpBbjKM,24.0
a9esk9m9PqQ,20.0
zGN8ghHMaKw,17.0
eEdPnm-AZ94,24.0
E9eAshaPvYw,1.0
Zy6nbhUW_5E,26.0
yN7N0P2TxHQ,10.0
d6wJfdfFnYY,23.0
akNs04ef_Co,26.0
xnZA52oTp6M,10.0
II-OP6vdMs8,22.0
Nsg6ZDd4NfQ,26.0
Zukh-0csKPc,22.0
9f5zD7ZSNpQ,10.0
xVhnfTwh1OA,24.0
XIZmIl9SsXk,22.0
jxFwvwYPPcs,20.0
R-lhShtMfvQ,10.0
tP_Dk81f9fg,10.0
nrB7aqfRzyE,1.0
ip_r4y-23JM,22.0
WXzA0pfvO6w,17.0
b_aLROw98NA,25.0
41oqd-mogW8,26.0
IJ9OFwFxxt4,1.0
qpAo_XvCQaQ,24.0
SJsvPv5Q_oY,15.0
13434sOl4Zo,15.0
uUCdUCxTjyI,10.0
mA4NVRV1FGU,26.0
X6SaVOLRcF4,10.0
D3V0aw-ljEg,20.0
lpkRFHSpvGI,24.0
yKVAhDbSito,26.0
D18e8aU-UWs,10.0
YWVylysTNIA,15.0
JWAvRIpuj1U,17.0
FB64ez0kf1c,25.0
FIFLT8iTyJk,17.0
EW3KD4kqqug,29.0
HuJkBDBloa0,24.0
Xz3GEsF-VKA,24.0
d9aIHhsjupk,22.0
ERyfRmz0N-w,23.0
5-rHVxhQUJA,10.0
WrcwcMIYpQg,27.0
SsaI0u8xn_4,22.0
dcVFxgm2S1I,24.0
FQUmz9QxtFc,23.0
Gc71AmT_b2k,10.0
r5JK6eEHwIQ,24.0
L4KiF0gHpvU,10.0
UNhI8F-C89o,24.0
hROYRchrJkU,22.0
JqIkzS2wSz8,24.0
5x-d3pabd5o,10.0
m0HN1TB-Jcw,22.0
xPsEiZAOb_I,24.0
L60GziFpdA4,24.0
I92OeEHWmTc,10.0
hwnDMahSwNI,25.0
li6f_0x0IGE,26.0
cZV6ebHoJ08,23.0
_gRC4L6lNoc,20.0
If75XsbYCZw,1.0
