video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
u_E8_Iy9nIQ,world changing the beauty is says its fuck that fake expectation of the real shit lets naked lets get nakedj get,world change beauty say fuck fake expectation real shit let naked get nakedj,"[""[[74, 131], [144, 156]]"", ""[[333, 130], [458, 160]]"", ""[[211, 133], [303, 158]]"", ""[[149, 137], [208, 158]]"", ""[[49, 158], [113, 180]]"", ""[[208, 157], [269, 181]]"", ""[[275, 155], [432, 185]]"", ""[[232, 184], [285, 205]]"", ""[[288, 182], [334, 205]]"", ""[[233, 206], [296, 234]]"", ""[[146, 208], [229, 230]]"", ""[[95, 207], [145, 236]]"", ""[[349, 206], [445, 233]]""]"
uaQGdhRg7gY,12 crosses billion avengers infinity war,cross billion avenger infinity war,"[""[[253, 284], [353, 314]]"", ""[[386, 284], [472, 314]]"", ""[[6, 285], [116, 312]]"", ""[[116, 285], [205, 312]]"", ""[[206, 285], [254, 310]]""]"
ubAbewMTUUw,ocean alley like version,ocean alley like version,"[""[[25, 249], [84, 268]]"", ""[[85, 249], [136, 268]]"", ""[[25, 269], [109, 301]]"", ""[[153, 269], [314, 301]]""]"
ud11UAVM32Q,girl go,girl,"[""[[350, 76], [437, 137]]""]"
ud4ONGSZHOY,uchis kali news,uchis kali news,"[""[[144, 273], [213, 299]]"", ""[[90, 274], [141, 298]]"", ""[[16, 296], [65, 313]]""]"
ug3D2fkqb0A,resurventing tm here still right don it understand now you,resurventing still right understand,"[""[[185, 284], [286, 297]]"", ""[[242, 297], [262, 309]]"", ""[[173, 298], [200, 310]]"", ""[[292, 300], [348, 309]]""]"
ug3U76M1ZPA,kbs music bank am,music bank,"[""[[38, 64], [84, 80]]"", ""[[40, 76], [81, 89]]""]"
ugDM_Dy6TA4,hot topics abc,hot topic abc,"[""[[49, 261], [77, 273]]"", ""[[42, 272], [84, 284]]"", ""[[422, 276], [457, 294]]""]"
uh51y_s5eNg,anywhere dj mustard nick jonas,anywhere mustard nick jonas,"[""[[58, 126], [425, 188]]"", ""[[133, 201], [240, 230]]"", ""[[249, 201], [309, 232]]"", ""[[310, 200], [386, 232]]""]"
uhx8NjSsdY0,psycho post malone ty dolla sign,psycho post malone dolla sign,"[""[[155, 121], [323, 207]]"", ""[[134, 216], [173, 244]]"", ""[[174, 217], [233, 244]]"", ""[[261, 217], [308, 244]]"", ""[[309, 217], [342, 244]]""]"
ui1SquTFnxo,a sc,,[]
uj2dI7SdrtE,alao to ave you as a triend,alao ave triend,"[""[[297, 221], [316, 229]]"", ""[[300, 229], [316, 236]]"", ""[[301, 244], [325, 250]]""]"
uj7aDbxZFWk,posit supershe islande the opposition no men allowed comcoy,posit supershe islande opposition men allow comcoy,"[""[[0, 48], [73, 66]]"", ""[[97, 252], [205, 273]]"", ""[[206, 252], [289, 272]]"", ""[[32, 256], [90, 268]]"", ""[[130, 273], [176, 292]]"", ""[[180, 273], [277, 292]]"", ""[[16, 280], [41, 285]]""]"
ujNqEZhu5Kg,rosene sund cam flates,rosene sund cam flates,"[""[[210, 131], [290, 176]]"", ""[[247, 186], [299, 225]]"", ""[[206, 202], [240, 225]]"", ""[[40, 282], [83, 298]]""]"
ukL3YsLmoy4,vont touch 10 me,vont touch,"[""[[14, 192], [130, 240]]"", ""[[133, 192], [250, 241]]""]"
